song,singer,tempo,energy,loudness,danceability,valence,acousticness,happy,angry,sad,relax,mood
Christmas Lights,Coldplay,130.795,0.418,-9.146,0.312,0.237,0.131,15,0,50,35,2
Magic,Coldplay,93.458,0.483,-8.915,0.738,0.355,0.0262,22.5,12,18,47.5,3
In My Place,Coldplay,144.642,0.587,-5.453,0.425,0.194,0.0565,10,20,40,30,2
Amazing Day,Coldplay,96.988,0.638,-5.795,0.45,0.292,0.0172,0,10,50,40,2
Clocks,Coldplay,130.969,0.749,-7.215,0.577,0.261,0.599,10,34.16666667,23.33333333,32.5,1
Birds,Coldplay,105.009,0.841,-5.584,0.559,0.15,0.000315,0,42,48,10,2
Always In My Head,Coldplay,97.544,0.502,-9.307,0.499,0.0397,0.0128,22.5,10,30,37.5,3
Ink,Coldplay,112.019,0.706,-7.31,0.688,0.689,0.0661,10,49.5,8,32.5,1
Charlie Brown,Coldplay,137.986,0.738,-7.076,0.43,0.0944,0.0212,10,0,50,40,2
Violet Hill,Coldplay,76.022,0.581,-7.875,0.345,0.108,0.0603,10,0,20,70,3
Midnight,Coldplay,126.976,0.475,-12.42,0.548,0.0349,0.615,42.5,28,10,19.5,0
True Love,Coldplay,119.994,0.574,-7.963,0.482,0.184,0.00382,0,10,0,90,3
Army of One,Coldplay,146.04,0.66,-6.491,0.387,0.289,0.274,10,0,40,50,3
Kaleidoscope,Coldplay,127.122,0.285,-18.192,0.288,0.148,0.964,13.33333333,0,51.66666667,35,2
Politik,Coldplay,170.967,0.481,-7.753,0.263,0.0675,0.0364,15,0,55,30,2
Sparks,Coldplay,102.623,0.268,-10.506,0.371,0.165,0.746,16.66666667,20,45,18.33333333,2
Hypnotised,Coldplay,120.056,0.683,-6.185,0.513,0.153,0.339,0,27.5,30,42.5,3
Warning Sign,Coldplay,140.632,0.434,-9.423,0.534,0.0395,0.0932,25,29.5,23,22.5,1
Speed of Sound,Coldplay,123.085,0.898,-6.765,0.523,0.355,0.00491,5,15,20,60,3
Us Against the World,Coldplay,112.379,0.304,-11.096,0.511,0.195,0.845,30,30,20,20,0
A Message,Coldplay,116.92,0.459,-9.488,0.567,0.151,0.327,12.5,29.5,38,20,2
Princess of China,Coldplay,84.99,0.69,-6.221,0.425,0.233,0.00385,0,4,56,40,2
Talk,Coldplay,120.318,0.557,-10.841,0.413,0.158,0.00548,10,0,60,30,2
Oceans,Coldplay,74.848,0.132,-15.783,0.194,0.04,0.919,13.33333333,0,46.66666667,40,2
Shiver,Coldplay,116.707,0.803,-6.186,0.397,0.286,0.0334,0,0,50,50,2
We All Fall In Love Sometimes,Coldplay,90.765,0.0821,-16.098,0.37,0.151,0.973,26.66666667,0,35,38.33333333,3
See You Soon,Coldplay,92.226,0.295,-12.779,0.369,0.211,0.657,36.66666667,0,45,18.33333333,2
Parachutes,Coldplay,136.978,0.0845,-18.348,0.555,0.375,0.871,45,25,20,10,0
Green Eyes,Coldplay,129.54,0.405,-8.607,0.608,0.233,0.539,30,23.5,34,12.5,2
Spies,Coldplay,147.607,0.674,-5.527,0.309,0.0728,0.0234,10,24,46,20,2
Daylight,Coldplay,132.752,0.571,-6.117,0.461,0.208,0.00975,0,6.666666667,33.33333333,60,3
Miracles,Coldplay,97.003,0.822,-5.501,0.626,0.374,0.0164,0,42,48,10,2
Swallowed in the Sea,Coldplay,142.123,0.378,-10.823,0.29,0.153,0.0557,0,0,85,15,2
Til Kingdom Come,Coldplay,115.071,0.395,-9.593,0.607,0.274,0.612,36,17.5,20,26.5,0
Hurts Like Heaven,Coldplay,89.954,0.773,-6.187,0.419,0.274,0.01,0,0,50,50,2
What If,Coldplay,136.744,0.502,-6.704,0.304,0.193,0.314,33.33333333,0,51.66666667,15,2
White Shadows,Coldplay,127.44,0.783,-8.994,0.49,0.259,0.00521,0,20,10,70,3
The Hardest Part,Coldplay,123.727,0.844,-5.883,0.5,0.444,0.0228,10,10,40,40,2
Strawberry Swing,Coldplay,173.139,0.663,-10.476,0.38,0.429,0.00722,20,0,10,70,3
Up in Flames,Coldplay,76.007,0.244,-11.051,0.638,0.336,0.233,36,27,21.33333333,15.66666667,0
Square One,Coldplay,124.139,0.678,-6.884,0.428,0.06,0.00664,0,4,56,40,2
Postcards from Far Away,Coldplay,126.704,0.164,-19.387,0.46,0.189,0.99,16.66666667,10,40,33.33333333,2
Major Minus,Coldplay,115.415,0.67,-5.232,0.445,0.401,0.000236,10,20,40,30,2
Fix You,Coldplay,138.265,0.418,-8.74,0.209,0.123,0.163,20,0,25,55,3
Everglow,Coldplay,146.099,0.445,-9.155,0.535,0.136,0.456,10,19.5,48,22.5,2
Low,Coldplay,132.09,0.884,-8.963,0.467,0.499,0.0223,0,10,20,70,3
Twisted Logic,Coldplay,160.356,0.465,-6.9,0.198,0.0523,0.0263,20,0,35,45,3
In My Place,Coldplay,144.642,0.587,-5.453,0.425,0.194,0.0565,10,20,40,30,2
Are You Ready To Fly ,Dune,164,0.758,-10.303,0.51,0.155,0.0867,0,37.5,10,52.5,3
Automatic ,Dead Disco,144.978,0.835,-6.348,0.453,0.429,0.000938,0,0,40,60,3
Back Some Day,Blue,165.026,0.724,-4.856,0.511,0.438,0.113,10,47.5,20,22.5,1
Be Gentle With Me,The Boy Least Likely To,108.11,0.838,-5.729,0.729,0.687,0.0194,10,32,43,15,2
Bossy,Kelis,84.021,0.633,-5.316,0.906,0.779,0.000182,10,52,28,10,1
Bottom Of the Barrel,Amos Lee,178.13,0.346,-12.689,0.611,0.539,0.784,36,20,16,28,0
Bowl Of Oranges,Bright Eyes,105.797,0.584,-11.369,0.332,0.0963,0.329,46.66666667,10,20,23.33333333,0
Do Ya,Jump5,103.984,0.917,-3.365,0.577,0.676,0.0303,5,47,38,10,1
Duane Joseph,The Juliana Theory,165.89,0.6,-8.166,0.42,0.381,0.00214,10,0,20,70,3
East Easy Rider,Julian Cope,92.367,0.84,-9.392,0.686,0.852,0.112,20,27,33,20,2
Fly By,Blue,95.237,0.766,-4.12,0.761,0.77,0.16,20,32,43,5,2
Friends,Scooter,176.129,0.824,-13.465,0.346,0.513,0.00043,0,30,30,40,3
